nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
33,0.0,71,0.0413336227316051,0.0,498002.970824479,517059.08982104703,531322.756876378,541228.2087209229,551133.660565468,562428.067656933,576627.951370972,591620.237598857,0.1
34,0.0,72,0.0413336227316051,0.0,192567.365463715,199694.582880682,205033.88776328,208747.280127947,212460.672492614,216676.991848733,221977.252814598,227573.134144348,0.1
47,2.0,109,0.0,0.0,0.0,379769.55486626294,759539.112746055,1139308.66761232,1519078.22549211,1898847.78035837,2278617.33823817,2658386.89310443,0.0
36,2.0,98,0.0,0.0,0.0,72721.1392777675,145442.279132588,218163.418410356,290884.558265176,363605.697542944,436326.837397764,509047.97667553206,0.0
37,2.0,99,0.0,0.0,0.0,102043.01607012199,204086.03294997,306129.049020092,408172.065899941,510215.081970063,612258.098849911,714301.114920033,0.0
38,2.0,100,0.0,0.0,0.0,171168.081770544,342336.16489933303,513504.24666987703,684672.329798665,855840.4115692091,1027008.4946979999,1198176.57646854,0.0
39,2.0,101,0.0,0.0,0.0,497561.89925887797,995123.802465985,1492685.70172486,1990247.60493197,2487809.50419085,2985371.40739795,3482933.30665683,0.0
40,2.0,102,0.0,0.0,0.0,123721.58393119801,247443.168844145,371164.75277534296,494886.33768829,618607.9216194879,742329.506532435,866051.090463633,0.0
41,2.0,103,0.0,0.0,0.0,297382.592910685,594765.188181145,892147.78109183,1189530.37636229,1486912.96927297,1784295.56454343,2081678.15745412,0.0
42,2.0,104,0.0,0.0,0.0,24753.5733510906,49507.1468986045,74260.72024969509,99014.2937972091,123767.8671483,148521.440695814,173275.014046904,0.0
43,2.0,105,0.0,0.0,0.0,244801.253747381,489602.509437297,734403.7631846791,979205.018874595,1224006.27262198,1468807.52831189,1713608.78205927,0.0
44,2.0,106,0.0,0.0,0.0,9302.12897384604,18604.258021505902,27906.3869953519,37208.516043011696,46510.6450168578,55812.774064517595,65114.9030383637,0.0
45,2.0,107,0.0,0.0,0.0,349891.314153014,699782.631082467,1049673.94523548,1399565.26216493,1749456.57631795,2099347.8932474,2449239.20740042,0.0
46,2.0,108,0.0,0.0,0.0,44295.0514942605,88590.1033400088,132885.154834269,177180.20668001802,221475.25817427802,265770.310020026,310065.361514287,0.0
48,2.0,110,0.0,0.0,0.0,361799.058926488,723598.120723906,1085397.17965039,1447196.24144781,1808995.3003743,2170794.36217172,2532593.42109821,0.0
49,2.0,111,0.0,0.0,0.0,141653.6133317,283307.22778744396,424960.841119144,566614.455574887,708268.068906588,849921.6833623309,991575.296694031,0.0
50,2.0,112,0.0,0.0,0.0,117172.33792266,234344.67677510102,351517.01469776104,468689.35355020204,585861.691472862,703034.030325302,820206.368247963,0.0
51,2.0,113,0.0,0.0,0.0,511375.237327645,1022750.47871313,1534125.71604077,2045500.95742626,2556876.1947538997,3068251.43613939,3579626.67346703,0.0
52,2.0,114,0.0,0.0,0.0,289973.031265343,579946.0648316661,869919.096097009,1159892.12966333,1449865.16092867,1739838.1944950002,2029811.22576034,0.0
53,2.0,115,0.0,0.0,0.0,138599.153011504,277198.307122813,415797.46013431705,554396.614245626,692995.76725713,831594.9213684391,970194.074379943,0.0
54,2.0,116,0.0,0.0,0.0,171776.967652379,343553.936667833,515330.904320212,687107.8733356671,858884.8409880459,1030661.8100035,1202438.77765588,0.0
55,2.0,117,0.0,0.0,0.0,20447.5743010706,40895.1487643958,61342.723065466394,81790.2975287916,102237.871829862,122685.446293187,143133.020594258,0.0
56,2.0,118,0.0,0.0,0.0,68817.69831009071,137635.39716626,206453.095476351,275270.79433252,344088.49264261103,412906.19149878,481723.889808871,0.0
57,2.0,119,0.0,0.0,0.0,119697.734340515,239395.469630849,359093.203971364,478790.939261698,598488.673602212,718186.408892547,837884.143233061,0.0
58,2.0,120,0.0,0.0,0.0,27304.018072104504,54608.0363608704,81912.05443297481,109216.072721741,136520.090793845,163824.109082611,191128.12715471603,0.0
35,2.0,97,0.0,0.0,0.0,41954.3953184577,83908.7909698298,125863.18628828699,167817.58193966,209771.977258117,251726.37290948897,293680.768227947,0.0
36,1.0,74,0.0,0.0,0.0,72721.1392777675,145442.279132588,218163.418410356,290884.558265176,363605.697542944,436326.837397764,509047.97667553206,0.0
