nd_id,ca_id,dmnd_pf_id,grid_losses,grid_losses_absolute,dmnd_sum,dmnd_sum_yr2020,dmnd_sum_yr2025,dmnd_sum_yr2030,dmnd_sum_yr2035,dmnd_sum_yr2040,dmnd_sum_yr2045,dmnd_sum_yr2050,vc_dmnd_flex
57,2,119,0.0,0.0,0.0,119697.7343,239395.4696,359093.204,478790.9393,598488.6736,718186.4089,837884.1432,0.0
58,2,120,0.0,0.0,0.0,27304.01807,54608.03636,81912.05443,109216.0727,136520.0908,163824.1091,191128.1272,0.0
35,2,97,0.0,0.0,0.0,41954.39532,83908.79097,125863.1863,167817.5819,209771.9773,251726.3729,293680.7682,0.0
36,1,74,0.0,0.0,0.0,72721.13928,145442.2791,218163.4184,290884.5583,363605.6975,436326.8374,509047.9767,0.0
35,1,73,0.0,0.0,0.0,41954.39532,83908.79097,125863.1863,167817.5819,209771.9773,251726.3729,293680.7682,0.0
58,1,96,0.0,0.0,0.0,27304.01807,54608.03636,81912.05443,109216.0727,136520.0908,163824.1091,191128.1272,0.0
46,1,84,0.0,0.0,0.0,44295.05149,88590.10334,132885.1548,177180.2067,221475.2582,265770.31,310065.3615,0.0
57,1,95,0.0,0.0,0.0,119697.7343,239395.4696,359093.204,478790.9393,598488.6736,718186.4089,837884.1432,0.0
37,1,75,0.0,0.0,0.0,102043.0161,204086.0329,306129.049,408172.0659,510215.082,612258.0988,714301.1149,0.0
38,1,76,0.0,0.0,0.0,171168.0818,342336.1649,513504.2467,684672.3298,855840.4116,1027008.495,1198176.576,0.0
39,1,77,0.0,0.0,0.0,497561.8993,995123.8025,1492685.702,1990247.605,2487809.504,2985371.407,3482933.307,0.0
40,1,78,0.0,0.0,0.0,123721.5839,247443.1688,371164.7528,494886.3377,618607.9216,742329.5065,866051.0905,0.0
41,1,79,0.0,0.0,0.0,297382.5929,594765.1882,892147.7811,1189530.376,1486912.969,1784295.565,2081678.157,0.0
43,1,81,0.0,0.0,0.0,244801.2537,489602.5094,734403.7632,979205.0189,1224006.273,1468807.528,1713608.782,0.0
44,1,82,0.0,0.0,0.0,9302.128974,18604.25802,27906.387,37208.51604,46510.64502,55812.77406,65114.90304,0.0
45,1,83,0.0,0.0,0.0,349891.3142,699782.6311,1049673.945,1399565.262,1749456.576,2099347.893,2449239.207,0.0
42,1,80,0.0,0.0,0.0,24753.57335,49507.1469,74260.72025,99014.2938,123767.8671,148521.4407,173275.014,0.0
47,1,85,0.0,0.0,0.0,379769.5549,759539.1127,1139308.668,1519078.225,1898847.78,2278617.338,2658386.893,0.0
49,1,87,0.0,0.0,0.0,141653.6133,283307.2278,424960.8411,566614.4556,708268.0689,849921.6834,991575.2967,0.0
50,1,88,0.0,0.0,0.0,117172.3379,234344.6768,351517.0147,468689.3536,585861.6915,703034.0303,820206.3682,0.0
51,1,89,0.0,0.0,0.0,511375.2373,1022750.479,1534125.716,2045500.957,2556876.195,3068251.436,3579626.673,0.0
52,1,90,0.0,0.0,0.0,289973.0313,579946.0648,869919.0961,1159892.13,1449865.161,1739838.194,2029811.226,0.0
53,1,91,0.0,0.0,0.0,138599.153,277198.3071,415797.4601,554396.6142,692995.7673,831594.9214,970194.0744,0.0
54,1,92,0.0,0.0,0.0,171776.9677,343553.9367,515330.9043,687107.8733,858884.841,1030661.81,1202438.778,0.0
55,1,93,0.0,0.0,0.0,20447.5743,40895.14876,61342.72307,81790.29753,102237.8718,122685.4463,143133.0206,0.0
48,1,86,0.0,0.0,0.0,361799.0589,723598.1207,1085397.18,1447196.241,1808995.3,2170794.362,2532593.421,0.0
56,1,94,0.0,0.0,0.0,68817.69831,137635.3972,206453.0955,275270.7943,344088.4926,412906.1915,481723.8898,0.0
53,0,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,0,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
