pp_id,pp,nd_id,fl_id,pt_id,set_def_pr,set_def_cain,set_def_ror,set_def_pp,set_def_st,set_def_hyrs,set_def_chp,set_def_add,set_def_rem,set_def_sll,set_def_curt,set_def_lin,set_def_scen,set_def_winsol,set_def_tr,set_def_peak
217,SFH_URB_HT_0_HP_AW,55,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
218,SFH_URB_HT_1_HP_AW,56,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
219,SFH_URB_HT_2_HP_AW,57,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
220,SFH_URB_HT_3_HP_AW,58,16,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
221,MFH_RUR_HT_0_HP_WW,35,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
222,MFH_RUR_HT_1_HP_WW,36,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
223,MFH_RUR_HT_2_HP_WW,37,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
224,MFH_RUR_HT_3_HP_WW,38,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
225,MFH_SUB_HT_0_HP_WW,39,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
226,MFH_SUB_HT_1_HP_WW,40,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
227,MFH_SUB_HT_2_HP_WW,41,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
228,MFH_SUB_HT_3_HP_WW,42,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
229,MFH_URB_HT_0_HP_WW,43,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
230,MFH_URB_HT_1_HP_WW,44,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
231,MFH_URB_HT_2_HP_WW,45,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
232,MFH_URB_HT_3_HP_WW,46,16,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
233,SFH_RUR_HT_0_HP_WW,47,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
234,SFH_RUR_HT_1_HP_WW,48,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
235,SFH_RUR_HT_2_HP_WW,49,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
236,SFH_RUR_HT_3_HP_WW,50,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
237,SFH_SUB_HT_0_HP_WW,51,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
238,SFH_SUB_HT_1_HP_WW,52,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
239,SFH_SUB_HT_2_HP_WW,53,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
240,SFH_SUB_HT_3_HP_WW,54,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
241,SFH_URB_HT_0_HP_WW,55,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
242,SFH_URB_HT_1_HP_WW,56,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
243,SFH_URB_HT_2_HP_WW,57,16,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
