nd_id,nd_2_id,ca_id,mt_id,cap_trme_leg,cap_trmi_leg
1,28,0,3,251.8412973,251.8412973
1,28,0,4,251.8412973,251.8412973
1,28,0,5,251.8412973,251.8412973
1,28,0,6,251.8412973,251.8412973
1,28,0,7,251.8412973,251.8412973
1,28,0,8,251.8412973,251.8412973
1,28,0,9,251.8412973,251.8412973
1,28,0,10,251.8412973,251.8412973
1,28,0,11,251.8412973,251.8412973
1,29,0,0,80.62545129,80.62545129
1,29,0,1,80.62545129,80.62545129
1,29,0,2,80.62545129,80.62545129
1,29,0,3,80.62545129,80.62545129
1,29,0,4,80.62545129,80.62545129
1,29,0,5,80.62545129,80.62545129
1,29,0,6,80.62545129,80.62545129
1,29,0,7,80.62545129,80.62545129
1,29,0,8,80.62545129,80.62545129
1,29,0,9,80.62545129,80.62545129
1,29,0,10,80.62545129,80.62545129
1,29,0,11,80.62545129,80.62545129
1,30,0,0,204.734292,204.734292
1,30,0,1,204.734292,204.734292
1,30,0,2,204.734292,204.734292
1,30,0,3,204.734292,204.734292
1,30,0,4,204.734292,204.734292
1,30,0,5,204.734292,204.734292
1,30,0,6,204.734292,204.734292
1,30,0,7,204.734292,204.734292
1,30,0,8,204.734292,204.734292
1,30,0,9,204.734292,204.734292
1,30,0,10,204.734292,204.734292
1,30,0,11,204.734292,204.734292
1,7,0,0,1757.029262,1757.029262
1,7,0,1,1757.029262,1757.029262
1,7,0,2,1757.029262,1757.029262
1,7,0,3,1757.029262,1757.029262
1,7,0,4,1757.029262,1757.029262
1,7,0,5,1757.029262,1757.029262
1,7,0,6,1757.029262,1757.029262
1,7,0,7,1757.029262,1757.029262
1,7,0,8,1757.029262,1757.029262
1,7,0,9,1757.029262,1757.029262
1,7,0,10,1757.029262,1757.029262
1,7,0,11,1757.029262,1757.029262
1,16,0,0,783.8392866,783.8392866
1,16,0,1,783.8392866,783.8392866
1,16,0,2,783.8392866,783.8392866
1,16,0,3,783.8392866,783.8392866
1,16,0,4,783.8392866,783.8392866
1,16,0,5,783.8392866,783.8392866
1,16,0,6,783.8392866,783.8392866
1,16,0,7,783.8392866,783.8392866
1,16,0,8,783.8392866,783.8392866
1,16,0,9,783.8392866,783.8392866
1,16,0,10,783.8392866,783.8392866
1,16,0,11,783.8392866,783.8392866
1,17,0,0,59.2321879,59.2321879
1,17,0,1,59.2321879,59.2321879
1,17,0,2,59.2321879,59.2321879
1,17,0,3,59.2321879,59.2321879
1,17,0,4,59.2321879,59.2321879
1,17,0,5,59.2321879,59.2321879
1,17,0,6,59.2321879,59.2321879
1,17,0,7,59.2321879,59.2321879
1,17,0,8,59.2321879,59.2321879
1,17,0,9,59.2321879,59.2321879
1,17,0,10,59.2321879,59.2321879
1,17,0,11,59.2321879,59.2321879
1,18,0,0,939.8173814,939.8173814
1,18,0,1,939.8173814,939.8173814
1,18,0,2,939.8173814,939.8173814
1,18,0,3,939.8173814,939.8173814
1,18,0,4,939.8173814,939.8173814
1,18,0,5,939.8173814,939.8173814
1,18,0,6,939.8173814,939.8173814
1,18,0,7,939.8173814,939.8173814
1,18,0,8,939.8173814,939.8173814
1,18,0,9,939.8173814,939.8173814
1,18,0,10,939.8173814,939.8173814
1,18,0,11,939.8173814,939.8173814
1,19,0,0,191.5174075,191.5174075
1,19,0,1,191.5174075,191.5174075
